name,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,brand,origin_str_Japan,origin_str_Japan,origin_str_Usa,origin_str_Usa,decade,origin_str_Japan,origin_str_Japan,origin_str_Usa,origin_str_Usa,mpg
chevrolet chevelle malibu,1.498191258034802,1.0906036979541753,0.6731176189353574,0.6308698741675457,-1.2954983442942447,-1.6274262921583198,usa,Chevrolet,False,False,True,True,1880,False,False,True,True,-0.7064387006509832
buick skylark 320,1.498191258034802,1.5035143043761157,1.5899581813455976,0.8543329711977775,-1.477037792582784,-1.6274262921583198,usa,Buick,False,False,True,True,1880,False,False,True,True,-1.0907506236404467
plymouth satellite,1.498191258034802,1.1962319926202531,1.1970265117412089,0.5504704530138115,-1.6585772408713235,-1.6274262921583198,usa,Plymouth,False,False,True,True,1880,False,False,True,True,-0.7064387006509832
amc rebel sst,1.498191258034802,1.0617959812270632,1.1970265117412089,0.5469234197276173,-1.2954983442942447,-1.6274262921583198,usa,Amc,False,False,True,True,1880,False,False,True,True,-0.9626466493106254
ford torino,1.498191258034802,1.0425908367423218,0.9350720653382832,0.5658409305873194,-1.8401166891598626,-1.6274262921583198,usa,Ford,False,False,True,True,1880,False,False,True,True,-0.8345426749808043
ford galaxie 500,1.498191258034802,2.2621175115234013,2.454407854475253,1.620492161015715,-2.0216561374484017,-1.6274262921583198,usa,Ford,False,False,True,True,1880,False,False,True,True,-1.0907506236404467
chevrolet impala,1.498191258034802,2.5021818175826693,3.0307076365616896,1.635862638589223,-2.3847350340254803,-1.6274262921583198,usa,Chevrolet,False,False,True,True,1880,False,False,True,True,-1.2188545979702674
plymouth fury iii,1.498191258034802,2.367745806189479,2.8997304133602264,1.586204172582505,-2.56627448231402,-1.6274262921583198,usa,Plymouth,False,False,True,True,1880,False,False,True,True,-1.2188545979702674
pontiac catalina,1.498191258034802,2.5117843898250403,3.1616848597631524,1.7198090930291514,-2.0216561374484017,-1.6274262921583198,usa,Pontiac,False,False,True,True,1880,False,False,True,True,-1.2188545979702674
amc ambassador dpl,1.498191258034802,1.8876171940709439,2.244844297352912,1.0399610465086049,-2.56627448231402,-1.6274262921583198,usa,Amc,False,False,True,True,1880,False,False,True,True,-1.0907506236404467
dodge challenger se,1.498191258034802,1.820399188374349,1.7209354045470606,0.7006281954626974,-2.0216561374484017,-1.6274262921583198,usa,Dodge,False,False,True,True,1880,False,False,True,True,-1.0907506236404467
plymouth 'cuda 340,1.498191258034802,1.4074885819524086,1.4589809581441346,0.7550160391843411,-2.747813930602559,-1.6274262921583198,usa,Plymouth,False,False,True,True,1880,False,False,True,True,-1.2188545979702674
chevrolet monte carlo,1.498191258034802,1.9836429164946505,1.1970265117412089,0.9347323923515117,-2.203195585736941,-1.6274262921583198,usa,Chevrolet,False,False,True,True,1880,False,False,True,True,-1.0907506236404467
buick estate wagon (sw),1.498191258034802,2.5117843898250403,3.1616848597631524,0.1366499029578265,-2.0216561374484017,-1.6274262921583198,usa,Buick,False,False,True,True,1880,False,False,True,True,-1.2188545979702674
toyota corona mark ii,-0.8563205709794179,-0.7722953170657414,-0.2437229434748829,-0.7075440191563825,-0.20626165456300877,-1.6274262921583198,japan,Toyota,True,True,False,False,1880,True,True,False,False,0.06218514532794324
plymouth duster,0.32093534352769215,0.043923323535768506,-0.2437229434748829,-0.16248323751121388,-0.02472220627446934,-1.6274262921583198,usa,Plymouth,False,False,True,True,1880,False,False,True,True,-0.1940228033316988
amc hornet,0.32093534352769215,0.05352589577813921,-0.1913320541942978,-0.2322415588063656,-0.02472220627446934,-1.6274262921583198,usa,Amc,False,False,True,True,1880,False,False,True,True,-0.7064387006509832
ford maverick,0.32093534352769215,0.06312846802050992,-0.5056773898778087,-0.4533399669791347,0.1568172420140699,-1.6274262921583198,usa,Ford,False,False,True,True,1880,False,False,True,True,-0.3221267776615199
datsun pl510,-0.8563205709794179,-0.9259364729436725,-0.427091055956931,-0.9936713709093778,-0.3878011028515481,-1.6274262921583198,japan,Datsun,True,True,False,False,1880,True,True,False,False,0.4464970683174065
volkswagen 1131 deluxe sedan,-0.8563205709794179,-0.9259364729436725,-1.527299730849219,-1.3424629773851366,1.7906722766109238,-1.6274262921583198,europe,Volkswagen,False,False,False,False,1880,False,False,False,False,0.3183930939875855
peugeot 504,-0.8563205709794179,-0.8011030337928535,-0.4532865005972236,-0.35284069053696687,0.7014355868796878,-1.6274262921583198,europe,Peugeot,False,False,False,False,1880,False,False,False,False,0.19028911965776435
audi 100 ls,-0.8563205709794179,-0.8299107505199655,-0.3747001666763458,-0.6389680422899622,-0.3878011028515481,-1.6274262921583198,europe,Audi,False,False,False,False,1880,False,False,False,False,0.06218514532794324
saab 99e,-0.8563205709794179,-0.8587184672470777,-0.2437229434748829,-0.7039969858701884,0.7014355868796878,-1.6274262921583198,europe,Saab,False,False,False,False,1880,False,False,False,False,0.19028911965776435
bmw 2002,-0.8563205709794179,-0.6954747391267757,0.2277950600503834,-0.8707075503213138,-1.1139588960057054,-1.6274262921583198,europe,Bmw,False,False,False,False,1880,False,False,False,False,0.3183930939875855
amc gremlin,0.32093534352769215,0.05352589577813921,-0.3747001666763458,-0.3812169568265202,-0.20626165456300877,-1.6274262921583198,usa,Amc,False,False,True,True,1880,False,False,True,True,-0.3221267776615199
ford f250,1.498191258034802,1.5995400267998225,2.8997304133602264,1.9444545344881143,-0.5693405511400874,-1.6274262921583198,usa,Ford,False,False,True,True,1880,False,False,True,True,-1.731270495289552
chevy c20,1.498191258034802,1.0906036979541753,2.506798743755838,1.6618742160213136,-0.20626165456300877,-1.6274262921583198,usa,Chevy,False,False,True,True,1880,False,False,True,True,-1.731270495289552
dodge d200,1.498191258034802,1.1962319926202531,2.768753190158764,1.6689682825937018,-0.7508799994286268,-1.6274262921583198,usa,Dodge,False,False,True,True,1880,False,False,True,True,-1.6031665209597306
hi 1200d,1.498191258034802,1.0617959812270632,2.32343063127379,2.082788832649687,1.0645144834567664,-1.6274262921583198,usa,Hi,False,False,True,True,1880,False,False,True,True,-1.859374469619373
datsun pl510,-0.8563205709794179,-0.9259364729436725,-0.427091055956931,-0.9936713709093778,-0.3878011028515481,-1.3566421515734488,japan,Datsun,True,True,False,False,1880,True,True,False,False,0.4464970683174065
chevrolet vega 2300,-0.8563205709794179,-0.5130258665217324,-0.3747001666763458,-0.8352372174593722,-0.02472220627446934,-1.3566421515734488,usa,Chevrolet,False,False,True,True,1880,False,False,True,True,0.5746010426472277
toyota corona,-0.8563205709794179,-0.7722953170657414,-0.2437229434748829,-0.8778016168937021,-0.5693405511400874,-1.3566421515734488,japan,Toyota,True,True,False,False,1880,True,True,False,False,0.19028911965776435
ford pinto,-0.8563205709794179,-0.9163339007013019,-0.2830161104353218,-1.0929883029228142,1.2460539317453057,-1.3566421515734488,usa,Ford,False,False,True,True,1880,False,False,True,True,0.19028911965776435
amc gremlin,0.32093534352769215,0.37041077977637243,-0.11274572027342,-0.3977697788287596,-0.932419447717166,-1.3566421515734488,usa,Amc,False,False,True,True,1880,False,False,True,True,-0.5783347263211621
plymouth satellite custom,0.32093534352769215,0.30319277407977746,0.0182315029280428,0.5540174863000056,-0.02472220627446934,-1.3566421515734488,usa,Plymouth,False,False,True,True,1880,False,False,True,True,-0.9626466493106254
chevrolet chevelle malibu,0.32093534352769215,0.5432570801390452,-0.11274572027342,0.4239595991395532,-0.02472220627446934,-1.3566421515734488,usa,Chevrolet,False,False,True,True,1880,False,False,True,True,-0.8345426749808043
ford torino 500,0.32093534352769215,0.5432570801390452,-0.427091055956931,0.3920362995638058,-0.02472220627446934,-1.3566421515734488,usa,Ford,False,False,True,True,1880,False,False,True,True,-0.5783347263211621
amc matador,0.32093534352769215,0.37041077977637243,-0.11274572027342,0.3754834775615664,-0.02472220627446934,-1.3566421515734488,usa,Amc,False,False,True,True,1880,False,False,True,True,-0.7064387006509832
chevrolet impala,1.498191258034802,1.5035143043761157,1.5899581813455976,1.464422696423172,-1.2954983442942447,-1.3566421515734488,usa,Chevrolet,False,False,True,True,1880,False,False,True,True,-1.2188545979702674
pontiac catalina brougham,1.498191258034802,1.9836429164946505,1.8519126277485236,1.7659205257496755,-1.477037792582784,-1.3566421515734488,usa,Pontiac,False,False,True,True,1880,False,False,True,True,-1.2188545979702674
